Model,MAE,RMSE,R2,MAE Improvement vs Mean Baseline (%),MAE Improvement vs Previous Ammonia (%)
Naive Baseline: Training Mean,2.8651246053141395,2.912453739046379,-16.3588420265114,0.0,-4553.3568305774825
Naive Baseline: Previous Ammonia,0.061571134766352675,0.3098526121174239,0.8035224189593169,97.85101371674543,0.0
Final Hydro-Twin Random Forest,0.03272021844329798,0.12605505413847717,0.9674820464937135,98.85798270753706,46.857860314799844
